y,ds
252.5083944997441260,2019-05-26
268.5448018907708540,2019-05-27
270.3095286443121394,2019-05-28
269.1599734759118058,2019-05-29
275.5727930022245831,2019-05-30
258.2017163396175204,2019-05-31
268.3498240518353694,2019-06-01
269.1418600336747506,2019-06-02
263.3788794307011211,2019-06-03
245.8987570232491829,2019-06-04
245.1541921493741246,2019-06-05
245.5321016648812206,2019-06-06
250.0447326141498317,2019-06-07
248.1162523885443901,2019-06-08
239.6605555762969335,2019-06-09
240.3627938274686752,2019-06-10
244.6308667358103040,2019-06-11
251.5148795734838254,2019-06-12
259.6148287955633434,2019-06-13
257.1255182322385895,2019-06-14
266.3411071530693688,2019-06-15
270.9557341340751557,2019-06-16
271.1894341743424349,2019-06-17
267.6158729730076121,2019-06-18
267.5139578966019315,2019-06-19
269.6565206422038969,2019-06-20
286.5590547555555572,2019-06-21
306.3660936320405554,2019-06-22
310.8220332340686535,2019-06-23
307.0203258757076377,2019-06-24
311.4141944897036655,2019-06-25
335.8588474694395205,2019-06-26
311.4511111027903146,2019-06-27
303.9446035751879897,2019-06-28
305.7664940573235461,2019-06-29
307.2637921570124007,2019-06-30
292.0130976349351015,2019-07-01
285.0868397126585194,2019-07-02
295.3868167341529423,2019-07-03
295.7857708274776742,2019-07-04
288.8899679857915120,2019-07-05
292.3009764957149579,2019-07-06
294.7906558364496074,2019-07-07
307.7202800956061717,2019-07-08
311.5968780223360814,2019-07-09
301.2443154563672063,2019-07-10
274.0394416699879090,2019-07-11
274.1472234628512119,2019-07-12
270.6273094130645986,2019-07-13
250.8333741240326628,2019-07-14
226.3911600170007443,2019-07-15
218.6098327797736177,2019-07-16
206.2559988019315247,2019-07-17
218.6386260079014159,2019-07-18
220.6021624296385493,2019-07-19
228.2652852385792321,2019-07-20
224.7272335459206190,2019-07-21
221.3666621447493194,2019-07-22
214.3990805497963701,2019-07-23
209.5484332467738767,2019-07-24
221.7584020351885307,2019-07-25
217.2855371056682020,2019-07-26
213.7351851086983494,2019-07-27
209.2759005214233836,2019-07-28
211.0090226739465009,2019-07-29
209.6708048153024211,2019-07-30
214.5561905181513963,2019-07-31
214.7168432705837145,2019-08-01
218.1184337469765156,2019-08-02
221.8946353015195020,2019-08-03
220.3705967448217473,2019-08-04
230.5795461062651797,2019-08-05
229.1574266081284268,2019-08-06
225.7186597342667516,2019-08-07
222.7248314433179972,2019-08-08
212.9524721959638948,2019-08-09
208.4631531297306066,2019-08-10
211.4241502751720239,2019-08-11
212.1997303425302641,2019-08-12
208.7887353492288586,2019-08-13
201.3503353670796725,2019-08-14
184.6912988469683149,2019-08-15
185.1518742185025619,2019-08-16
185.1812466280340002,2019-08-17
191.1028965738645843,2019-08-18
199.2010484836257299,2019-08-19
198.2074109326509937,2019-08-20
187.7487153828438683,2019-08-21
189.0493808127264678,2019-08-22
192.9665285664919295,2019-08-23
190.5930107094640455,2019-08-24
189.2404120351397794,2019-08-25
189.6820292463335042,2019-08-26
187.2293063761010083,2019-08-27
183.3595361386893553,2019-08-28
169.7297589472485243,2019-08-29
169.1576226330933899,2019-08-30
169.5189359157554148,2019-08-31
171.5608943514183560,2019-09-01
173.8103082988779637,2019-09-02
179.0037427150030708,2019-09-03
177.3884607469692156,2019-09-04
173.3753169310588484,2019-09-05
174.2786443712343948,2019-09-06
173.6563884083220528,2019-09-07
181.4237629228878255,2019-09-08
180.7646737393188249,2019-09-09
181.4272667101253726,2019-09-10
178.7903732413241332,2019-09-11
179.3695775000420026,2019-09-12
179.8680693336716717,2019-09-13
183.7005880817018726,2019-09-14
188.9283770917004733,2019-09-15
193.6988068434210770,2019-09-16
202.7575395995740088,2019-09-17
213.0614014017411827,2019-09-18
211.7709244173761658,2019-09-19
217.7406339943025358,2019-09-20
217.6946688820288342,2019-09-21
211.4397882285217824,2019-09-22
208.4571786233619858,2019-09-23
191.0112920627925686,2019-09-24
169.1726896322839005,2019-09-25
167.5011784593594606,2019-09-26
167.6818911886564272,2019-09-27
174.3482191681362079,2019-09-28
171.1065062491231372,2019-09-29
173.7827943271193425,2019-09-30
180.2612916885888476,2019-10-01
177.7640689207458176,2019-10-02
177.4655586129052414,2019-10-03
176.1377444167693002,2019-10-04
176.4402408993458856,2019-10-05
174.9835311201653776,2019-10-06
176.6416887792025295,2019-10-07
181.2421079628324012,2019-10-08
186.1974992945357098,2019-10-09
191.8401010768181588,2019-10-10
186.0239729646467817,2019-10-11
183.3215963106827210,2019-10-12
183.4326402466142019,2019-10-13
184.2771188687986710,2019-10-14
183.8259026828640917,2019-10-15
177.7676783135110831,2019-10-16
176.6864109276571020,2019-10-17
174.7219338852240045,2019-10-18
174.1805472119101736,2019-10-19
174.2988261158499721,2019-10-20
176.4314062639145967,2019-10-21
174.2770283300733120,2019-10-22
165.3788819310934948,2019-10-23
162.5987697026091194,2019-10-24
170.4268076153684759,2019-10-25
182.4956040885109170,2019-10-26
182.2728586519414586,2019-10-27
183.7830963232328547,2019-10-28
186.7545056552021106,2019-10-29
185.2829214205092019,2019-10-30
182.8014353201907859,2019-10-31
181.9105523288391602,2019-11-01
183.5206927749257480,2019-11-02
182.6067373480277266,2019-11-03
184.4030412131823329,2019-11-04
187.5295740638173144,2019-11-05
190.6564161272633444,2019-11-06
187.8887741327764584,2019-11-07
185.0434830578721179,2019-11-08
185.1627743937064376,2019-11-09
188.5514871312731221,2019-11-10
187.9946732556079479,2019-11-11
186.4221501121750295,2019-11-12
187.2173812560130390,2019-11-13
185.7420951183184043,2019-11-14
182.3941130920844354,2019-11-15
182.7613919643623847,2019-11-16
185.5779191428625239,2019-11-17
182.4939057918056918,2019-11-18
176.2835551926375429,2019-11-19
176.4160180289314241,2019-11-20
168.6191665671214244,2019-11-21
153.9837222244898152,2019-11-22
150.6970133856834590,2019-11-23
148.0295692039562598,2019-11-24
142.5771946537005456,2019-11-25
147.2858963199064792,2019-11-26
149.3735104133685466,2019-11-27
153.0867120172829360,2019-11-28
154.6006263521653507,2019-11-29
154.0932779919622784,2019-11-30
150.7749569014983626,2019-12-01
150.4874988272984720,2019-12-02
149.2235317586014315,2019-12-03
147.4014828825972795,2019-12-04
147.2113384150600225,2019-12-05
148.0171133629375955,2019-12-06
149.1115159248021215,2019-12-07
150.3778371454612157,2019-12-08
150.1450346488036773,2019-12-09
146.9443748504477483,2019-12-10
145.0745813680034540,2019-12-11
143.7592460508678446,2019-12-12
145.1880345952591108,2019-12-13
144.5720681308778212,2019-12-14
144.2001723061515494,2019-12-15
140.2798950076799982,2019-12-16
129.0353838541111745,2019-12-17
125.0529694704617257,2019-12-18
128.0498690369778527,2019-12-19
128.0807562887100065,2019-12-20
128.1186701462394253,2019-12-21
130.6831485584097776,2019-12-22
132.8960151940989551,2019-12-23
128.5117533145463093,2019-12-24
126.1724751013177668,2019-12-25
126.2672768832254857,2019-12-26
125.2901340533356726,2019-12-27
127.9768656275151174,2019-12-28
131.3709770770774309,2019-12-29
133.5566589926118879,2019-12-30
131.2879153655876416,2019-12-31
132.0437909339073974,2020-01-01
130.5917603599261063,2020-01-02
131.3467440619980521,2020-01-03
134.3668041247087860,2020-01-04
137.0775433537492007,2020-01-05
141.3006269252898552,2020-01-06
143.2182176408459584,2020-01-07
142.7087990999226707,2020-01-08
138.8921967049180962,2020-01-09
139.7934089691140811,2020-01-10
144.6527351725611695,2020-01-11
145.3796931335103940,2020-01-12
144.4901466099121264,2020-01-13
154.4868946367320891,2020-01-14
164.6236550508150357,2020-01-15
